Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,10650.000000,10650.000000,10375.000000,10450.000000,10450.000000,1797300
2021-11-16,10450.000000,10675.000000,10450.000000,10525.000000,10525.000000,1357700
2021-11-17,10525.000000,10575.000000,10275.000000,10325.000000,10325.000000,2211100
2021-11-18,10325.000000,10550.000000,10300.000000,10450.000000,10450.000000,980600
2021-11-19,10425.000000,10525.000000,10300.000000,10425.000000,10425.000000,1374000
2021-11-22,10425.000000,10425.000000,10300.000000,10325.000000,10325.000000,1245000
2021-11-23,10325.000000,10425.000000,10300.000000,10350.000000,10350.000000,597800
2021-11-24,10350.000000,10400.000000,10225.000000,10225.000000,10225.000000,1629700
2021-11-25,10225.000000,10400.000000,10225.000000,10400.000000,10400.000000,1195200
2021-11-26,10400.000000,10475.000000,10000.000000,10000.000000,10000.000000,3614600
2021-11-29,10000.000000,10075.000000,9800.000000,9975.000000,9975.000000,2002400
2021-11-30,9975.000000,10125.000000,9825.000000,9975.000000,9975.000000,1825700
2021-12-01,9975.000000,9975.000000,9725.000000,9775.000000,9775.000000,1761400
2021-12-02,9775.000000,9950.000000,9725.000000,9825.000000,9825.000000,979800
2021-12-03,9875.000000,9900.000000,9725.000000,9725.000000,9725.000000,1100500
2021-12-06,9725.000000,9875.000000,9550.000000,9825.000000,9825.000000,1223600
2021-12-07,9900.000000,10000.000000,9875.000000,9925.000000,9925.000000,1133300
2021-12-08,9925.000000,10025.000000,9900.000000,9925.000000,9925.000000,1010600
2021-12-09,9950.000000,9975.000000,9875.000000,9950.000000,9950.000000,765400
2021-12-10,9950.000000,9975.000000,9800.000000,9900.000000,9900.000000,1093200
2021-12-13,9925.000000,9975.000000,9875.000000,9875.000000,9875.000000,849700
2021-12-14,9800.000000,9975.000000,9800.000000,9850.000000,9850.000000,614900
2021-12-15,9850.000000,9925.000000,9675.000000,9700.000000,9700.000000,1204700
2021-12-16,9700.000000,9775.000000,9700.000000,9750.000000,9750.000000,1058300
2021-12-17,9775.000000,9825.000000,9600.000000,9825.000000,9825.000000,1531000
