Date,Open,High,Low,Close,Adj Close,Volume
2021-06-18,1385.000000,1385.000000,1315.000000,1355.000000,1355.000000,25611100
2021-06-21,1335.000000,1355.000000,1275.000000,1315.000000,1315.000000,22596200
2021-06-22,1340.000000,1360.000000,1330.000000,1340.000000,1340.000000,6466900
2021-06-23,1340.000000,1360.000000,1335.000000,1340.000000,1340.000000,7662300
2021-06-24,1345.000000,1350.000000,1315.000000,1330.000000,1330.000000,15280700
2021-06-25,1330.000000,1340.000000,1295.000000,1335.000000,1335.000000,15335300
2021-06-28,1335.000000,1335.000000,1280.000000,1300.000000,1300.000000,12189000
2021-06-29,1300.000000,1300.000000,1255.000000,1270.000000,1270.000000,16776000
2021-06-30,1270.000000,1275.000000,1235.000000,1250.000000,1250.000000,22473700
2021-07-01,1250.000000,1265.000000,1235.000000,1250.000000,1250.000000,6239200
2021-07-02,1270.000000,1330.000000,1260.000000,1325.000000,1325.000000,24455000
2021-07-05,1340.000000,1420.000000,1335.000000,1420.000000,1420.000000,20959300
2021-07-06,1425.000000,1490.000000,1425.000000,1485.000000,1485.000000,27145900
2021-07-07,1500.000000,1600.000000,1500.000000,1565.000000,1565.000000,42670900
2021-07-08,1570.000000,1585.000000,1540.000000,1570.000000,1570.000000,28250200
2021-07-09,1570.000000,1570.000000,1505.000000,1545.000000,1545.000000,10635900
2021-07-12,1555.000000,1570.000000,1540.000000,1560.000000,1560.000000,16613800
2021-07-13,1560.000000,1565.000000,1525.000000,1540.000000,1540.000000,6458700
2021-07-14,1535.000000,1535.000000,1445.000000,1470.000000,1470.000000,25243100
2021-07-15,1465.000000,1505.000000,1445.000000,1465.000000,1465.000000,12954500
2021-07-16,1465.000000,1470.000000,1405.000000,1420.000000,1420.000000,17283800
2021-07-19,1425.000000,1425.000000,1375.000000,1390.000000,1390.000000,14136200
2021-07-21,1390.000000,1400.000000,1370.000000,1380.000000,1380.000000,11152600
2021-07-22,1375.000000,1390.000000,1345.000000,1350.000000,1350.000000,20749300
2021-07-23,1350.000000,1355.000000,1330.000000,1330.000000,1330.000000,8447700
2021-07-26,1335.000000,1350.000000,1315.000000,1320.000000,1320.000000,10598000
2021-07-27,1320.000000,1330.000000,1285.000000,1305.000000,1305.000000,13704700
2021-07-28,1305.000000,1305.000000,1280.000000,1290.000000,1290.000000,10673900
2021-07-29,1285.000000,1340.000000,1280.000000,1325.000000,1325.000000,29077100
2021-07-30,1340.000000,1340.000000,1300.000000,1320.000000,1320.000000,14713000
2021-08-02,1320.000000,1325.000000,1290.000000,1305.000000,1305.000000,9038000
2021-08-03,1305.000000,1335.000000,1300.000000,1325.000000,1325.000000,57143900
2021-08-04,1335.000000,1405.000000,1335.000000,1365.000000,1365.000000,64604200
2021-08-05,1365.000000,1385.000000,1345.000000,1350.000000,1350.000000,20376200
2021-08-06,1370.000000,1370.000000,1315.000000,1335.000000,1335.000000,6970300
2021-08-09,1340.000000,1375.000000,1335.000000,1360.000000,1360.000000,7324500
2021-08-10,1370.000000,1485.000000,1365.000000,1455.000000,1455.000000,40536900
2021-08-12,1470.000000,1515.000000,1470.000000,1495.000000,1495.000000,25647800
2021-08-13,1505.000000,1505.000000,1430.000000,1455.000000,1455.000000,14008700
2021-08-16,1485.000000,1535.000000,1460.000000,1500.000000,1500.000000,15861300
2021-08-18,1505.000000,1535.000000,1480.000000,1500.000000,1500.000000,12563300
2021-08-19,1500.000000,1500.000000,1420.000000,1450.000000,1450.000000,6932500
2021-08-20,1445.000000,1495.000000,1410.000000,1470.000000,1470.000000,6461200
2021-08-23,1460.000000,1500.000000,1450.000000,1485.000000,1485.000000,5063400
2021-08-24,1500.000000,1500.000000,1415.000000,1430.000000,1430.000000,3679800
2021-08-25,1430.000000,1450.000000,1395.000000,1410.000000,1410.000000,3673300
2021-08-26,1405.000000,1410.000000,1370.000000,1395.000000,1395.000000,10677200
2021-08-27,1380.000000,1395.000000,1375.000000,1380.000000,1380.000000,7732700
2021-08-30,1410.000000,1440.000000,1395.000000,1425.000000,1425.000000,15522100
2021-08-31,1430.000000,1435.000000,1375.000000,1390.000000,1390.000000,16439800
2021-09-01,1395.000000,1420.000000,1380.000000,1410.000000,1410.000000,11433000
2021-09-02,1410.000000,1420.000000,1380.000000,1380.000000,1380.000000,5538700
2021-09-03,1380.000000,1390.000000,1370.000000,1375.000000,1375.000000,7830400
2021-09-06,1380.000000,1415.000000,1380.000000,1400.000000,1400.000000,11713700
2021-09-07,1410.000000,1415.000000,1385.000000,1400.000000,1400.000000,6032800
2021-09-08,1410.000000,1410.000000,1390.000000,1410.000000,1410.000000,8264800
2021-09-09,1410.000000,1415.000000,1390.000000,1400.000000,1400.000000,7197800
2021-09-10,1400.000000,1405.000000,1380.000000,1380.000000,1380.000000,6538700
2021-09-13,1380.000000,1390.000000,1380.000000,1385.000000,1385.000000,3300800
2021-09-14,1385.000000,1410.000000,1385.000000,1395.000000,1395.000000,9725900
2021-09-15,1395.000000,1400.000000,1375.000000,1380.000000,1380.000000,5958400
2021-09-16,1380.000000,1385.000000,1375.000000,1375.000000,1375.000000,4368300
2021-09-17,1375.000000,1385.000000,1350.000000,1350.000000,1350.000000,16531100
2021-09-20,1350.000000,1355.000000,1310.000000,1310.000000,1310.000000,11236300
2021-09-21,1310.000000,1320.000000,1295.000000,1300.000000,1300.000000,8764600
2021-09-22,1300.000000,1335.000000,1295.000000,1310.000000,1310.000000,18952600
2021-09-23,1310.000000,1325.000000,1295.000000,1305.000000,1305.000000,11065800
2021-09-24,1305.000000,1310.000000,1285.000000,1290.000000,1290.000000,18472100
2021-09-27,1290.000000,1295.000000,1255.000000,1255.000000,1255.000000,22574000
2021-09-28,1260.000000,1275.000000,1250.000000,1265.000000,1265.000000,25040800
2021-09-29,1265.000000,1270.000000,1255.000000,1260.000000,1260.000000,17073800
2021-09-30,1265.000000,1280.000000,1260.000000,1270.000000,1270.000000,19385400
2021-10-01,1270.000000,1270.000000,1255.000000,1260.000000,1260.000000,26130200
2021-10-04,1260.000000,1330.000000,1260.000000,1305.000000,1305.000000,84265700
2021-10-05,1310.000000,1375.000000,1275.000000,1375.000000,1375.000000,67125600
2021-10-06,1380.000000,1445.000000,1345.000000,1410.000000,1410.000000,78232700
2021-10-07,1415.000000,1465.000000,1375.000000,1450.000000,1450.000000,50569100
2021-10-08,1450.000000,1450.000000,1380.000000,1420.000000,1420.000000,40264100
2021-10-11,1420.000000,1425.000000,1360.000000,1405.000000,1405.000000,34871900
2021-10-12,1390.000000,1420.000000,1380.000000,1405.000000,1405.000000,32744500
2021-10-13,1400.000000,1425.000000,1400.000000,1410.000000,1410.000000,12486600
2021-10-14,1410.000000,1450.000000,1410.000000,1420.000000,1420.000000,22294500
2021-10-15,1445.000000,1445.000000,1400.000000,1405.000000,1405.000000,16724600
2021-10-18,1410.000000,1495.000000,1410.000000,1475.000000,1475.000000,33117700
2021-10-19,1475.000000,1490.000000,1430.000000,1445.000000,1445.000000,13454600
2021-10-21,1440.000000,1455.000000,1400.000000,1455.000000,1455.000000,25126200
2021-10-22,1455.000000,1455.000000,1405.000000,1415.000000,1415.000000,22040100
2021-10-25,1420.000000,1420.000000,1405.000000,1410.000000,1410.000000,5435000
2021-10-26,1415.000000,1420.000000,1400.000000,1405.000000,1405.000000,5142300
2021-10-27,1405.000000,1420.000000,1405.000000,1410.000000,1410.000000,8965300
2021-10-28,1420.000000,1430.000000,1380.000000,1410.000000,1410.000000,21993100
2021-10-29,1425.000000,1430.000000,1405.000000,1410.000000,1410.000000,5849600
2021-11-01,1405.000000,1440.000000,1405.000000,1425.000000,1425.000000,8648600
2021-11-02,1425.000000,1435.000000,1385.000000,1400.000000,1400.000000,5084800
2021-11-03,1400.000000,1425.000000,1390.000000,1425.000000,1425.000000,6140400
2021-11-04,1425.000000,1445.000000,1410.000000,1445.000000,1445.000000,11242200
2021-11-05,1445.000000,1490.000000,1425.000000,1490.000000,1490.000000,17665300
2021-11-08,1490.000000,1500.000000,1455.000000,1470.000000,1470.000000,7199800
2021-11-09,1495.000000,1495.000000,1465.000000,1475.000000,1475.000000,10850000
2021-11-10,1480.000000,1480.000000,1430.000000,1445.000000,1445.000000,8230000
2021-11-11,1445.000000,1450.000000,1405.000000,1415.000000,1415.000000,15675200
2021-11-12,1415.000000,1415.000000,1395.000000,1395.000000,1395.000000,6307600
2021-11-15,1395.000000,1415.000000,1395.000000,1400.000000,1400.000000,7302300
2021-11-16,1400.000000,1410.000000,1360.000000,1370.000000,1370.000000,16659800
2021-11-17,1360.000000,1375.000000,1325.000000,1330.000000,1330.000000,26323900
2021-11-18,1330.000000,1370.000000,1330.000000,1355.000000,1355.000000,25066500
2021-11-19,1360.000000,1365.000000,1345.000000,1355.000000,1355.000000,8655800
2021-11-22,1365.000000,1380.000000,1355.000000,1375.000000,1375.000000,15320500
2021-11-23,1375.000000,1405.000000,1370.000000,1400.000000,1400.000000,14161000
2021-11-24,1400.000000,1415.000000,1385.000000,1410.000000,1410.000000,17800500
2021-11-25,1415.000000,1420.000000,1410.000000,1415.000000,1415.000000,9067900
